Product Name,Sale price
sterling silver 35mm hammered hoop,['18.00']
sterling silver 10mm sleeper hoop,['2.50']
sterling silver 3mm bead studs,['3.99']
sterling silver essential hinged huggie hoop,['12.00']
sterling silver 12mm sleeper hoop,['3.00']
sterling silver 8mm sleeper hoop,['2.25']
sterling silver gemstone teardrop earrings,['14.00']
sterling silver claw set cubic zirconia studs,['5.99']
sterling silver 2mm bead studs,['3.99']
sterling silver tiny crossover hoop,['12.00']
sterling silver simple knot studs,['6.00']
sterling silver cubic zirconia 12mm huggy hoop,['18.00']
sterling silver 3mm claw set cubic zirconia studs,['8.00']
sterling silver huggie hoop mismatched celestial charms,['16.00']
sterling silver 10mm square tube hoop,['8.00']
sterling silver round opal studs,['12.00']
sterling silver open heart charm hoop,['8.00']
2mm sterling silver cubic zirconia solitaire studs,['7.00']
sterling silver puffed creole hoop,['22.00']
sterling silver tiny double star studs,['8.00']
sterling silver cubic zirconia 10mm huggy hoop,['15.00']
sterling silver mini opal charm hoop,['18.00']
sterling silver 4mm bead studs,['3.99']
sterling silver 3mm cubic zirconia studs,['7.99']
sterling silver 35mm hammered hoop,['18.00']
sterling silver 10mm sleeper hoop,['2.50']
sterling silver 3mm bead studs,['3.99']
sterling silver essential hinged huggie hoop,['12.00']
sterling silver 12mm sleeper hoop,['3.00']
sterling silver 8mm sleeper hoop,['2.25']
sterling silver gemstone teardrop earrings,['14.00']
sterling silver claw set cubic zirconia studs,['5.99']
sterling silver 2mm bead studs,['3.99']
sterling silver tiny crossover hoop,['12.00']
sterling silver simple knot studs,['6.00']
sterling silver cubic zirconia 12mm huggy hoop,['18.00']
sterling silver 3mm claw set cubic zirconia studs,['8.00']
sterling silver huggie hoop mismatched celestial charms,['16.00']
sterling silver 10mm square tube hoop,['8.00']
sterling silver round opal studs,['12.00']
sterling silver open heart charm hoop,['8.00']
2mm sterling silver cubic zirconia solitaire studs,['7.00']
sterling silver puffed creole hoop,['22.00']
sterling silver tiny double star studs,['8.00']
sterling silver cubic zirconia 10mm huggy hoop,['15.00']
sterling silver mini opal charm hoop,['18.00']
sterling silver 4mm bead studs,['3.99']
sterling silver 3mm cubic zirconia studs,['7.99']
sterling silver 35mm hammered hoop,['18.00']
sterling silver 10mm sleeper hoop,['2.50']
sterling silver 3mm bead studs,['3.99']
sterling silver essential hinged huggie hoop,['12.00']
sterling silver 12mm sleeper hoop,['3.00']
sterling silver 8mm sleeper hoop,['2.25']
sterling silver gemstone teardrop earrings,['14.00']
sterling silver claw set cubic zirconia studs,['5.99']
sterling silver 2mm bead studs,['3.99']
sterling silver tiny crossover hoop,['12.00']
sterling silver simple knot studs,['6.00']
sterling silver cubic zirconia 12mm huggy hoop,['18.00']
sterling silver 3mm claw set cubic zirconia studs,['8.00']
sterling silver huggie hoop mismatched celestial charms,['16.00']
sterling silver 10mm square tube hoop,['8.00']
sterling silver round opal studs,['12.00']
sterling silver open heart charm hoop,['8.00']
2mm sterling silver cubic zirconia solitaire studs,['7.00']
sterling silver puffed creole hoop,['22.00']
sterling silver tiny double star studs,['8.00']
sterling silver cubic zirconia 10mm huggy hoop,['15.00']
sterling silver mini opal charm hoop,['18.00']
sterling silver 4mm bead studs,['3.99']
sterling silver 3mm cubic zirconia studs,['7.99']
sterling silver 35mm hammered hoop,['18.00']
sterling silver 10mm sleeper hoop,['2.50']
sterling silver 3mm bead studs,['3.99']
sterling silver essential hinged huggie hoop,['12.00']
sterling silver 12mm sleeper hoop,['3.00']
sterling silver 8mm sleeper hoop,['2.25']
sterling silver gemstone teardrop earrings,['14.00']
sterling silver claw set cubic zirconia studs,['5.99']
sterling silver 2mm bead studs,['3.99']
sterling silver tiny crossover hoop,['12.00']
sterling silver simple knot studs,['6.00']
sterling silver cubic zirconia 12mm huggy hoop,['18.00']
sterling silver 3mm claw set cubic zirconia studs,['8.00']
sterling silver huggie hoop mismatched celestial charms,['16.00']
sterling silver 10mm square tube hoop,['8.00']
sterling silver round opal studs,['12.00']
sterling silver open heart charm hoop,['8.00']
2mm sterling silver cubic zirconia solitaire studs,['7.00']
sterling silver puffed creole hoop,['22.00']
sterling silver tiny double star studs,['8.00']
sterling silver cubic zirconia 10mm huggy hoop,['15.00']
sterling silver mini opal charm hoop,['18.00']
sterling silver 4mm bead studs,['3.99']
sterling silver 3mm cubic zirconia studs,['7.99']
sterling silver 35mm hammered hoop,['18.00']
sterling silver 10mm sleeper hoop,['2.50']
sterling silver 3mm bead studs,['3.99']
sterling silver essential hinged huggie hoop,['12.00']
sterling silver 12mm sleeper hoop,['3.00']
sterling silver 8mm sleeper hoop,['2.25']
sterling silver gemstone teardrop earrings,['14.00']
sterling silver claw set cubic zirconia studs,['5.99']
sterling silver 2mm bead studs,['3.99']
sterling silver tiny crossover hoop,['12.00']
sterling silver simple knot studs,['6.00']
sterling silver cubic zirconia 12mm huggy hoop,['18.00']
sterling silver 3mm claw set cubic zirconia studs,['8.00']
sterling silver huggie hoop mismatched celestial charms,['16.00']
sterling silver 10mm square tube hoop,['8.00']
sterling silver round opal studs,['12.00']
sterling silver open heart charm hoop,['8.00']
2mm sterling silver cubic zirconia solitaire studs,['7.00']
sterling silver puffed creole hoop,['22.00']
sterling silver tiny double star studs,['8.00']
sterling silver cubic zirconia 10mm huggy hoop,['15.00']
sterling silver mini opal charm hoop,['18.00']
sterling silver 4mm bead studs,['3.99']
sterling silver 3mm cubic zirconia studs,['7.99']
sterling silver 35mm hammered hoop,['18.00']
sterling silver 10mm sleeper hoop,['2.50']
sterling silver 3mm bead studs,['3.99']
sterling silver essential hinged huggie hoop,['12.00']
sterling silver 12mm sleeper hoop,['3.00']
sterling silver 8mm sleeper hoop,['2.25']
sterling silver gemstone teardrop earrings,['14.00']
sterling silver claw set cubic zirconia studs,['5.99']
sterling silver 2mm bead studs,['3.99']
sterling silver tiny crossover hoop,['12.00']
sterling silver simple knot studs,['6.00']
sterling silver cubic zirconia 12mm huggy hoop,['18.00']
sterling silver 3mm claw set cubic zirconia studs,['8.00']
sterling silver huggie hoop mismatched celestial charms,['16.00']
sterling silver 10mm square tube hoop,['8.00']
sterling silver round opal studs,['12.00']
sterling silver open heart charm hoop,['8.00']
2mm sterling silver cubic zirconia solitaire studs,['7.00']
sterling silver puffed creole hoop,['22.00']
sterling silver tiny double star studs,['8.00']
sterling silver cubic zirconia 10mm huggy hoop,['15.00']
sterling silver mini opal charm hoop,['18.00']
sterling silver 4mm bead studs,['3.99']
sterling silver 3mm cubic zirconia studs,['7.99']
sterling silver 35mm hammered hoop,['18.00']
sterling silver 10mm sleeper hoop,['2.50']
